ticket_id,company_type,created_at,department,employee_role,channel,ticket_text,category,subcategory,true_category,true_subcategory,label_quality,priority,status,sentiment,resolution_hours
ENT-022605,Global Technology Consulting Company,2025-06-11 01:23,Sales,Team Lead,Portal,I am seeing this issue again today. The request form does not show the item I need.,Purchase,Monitor Request,Purchase,Monitor Request,clean_label,High,Open,Frustrated,
ENT-013143,Global Technology Consulting Company,2025-01-19 11:55,Sales,Manager,Portal,"I submitted something for HR but cannot see the status anywhere. Also, a project page or dashboard is missing permissions/settings.",HR Support,Offboarding,HR Support,Offboarding,clean_label,Low,Closed,Neutral,93.7
ENT-007232,Global Technology Consulting Company,2025-07-28 10:19,Finance,Coordinator,Walk-up,"This started happening after yesterday afternoon. The machine is very slow and makes it hard to complete normal tasks. Also, we need support setting up internal tools for a new initiative.",Hardware,Blue Screen,Hardware,Blue Screen,clean_label,Medium,Closed,Urgent,44.6
ENT-019779,Global Technology Consulting Company,2025-01-08 19:36,Sales,Specialist,Email,The shared location looks full or unavailable,Storage,OneDrive Full,Storage,OneDrive Full,clean_label,Medium,Closed,Neutral,23.9
ENT-019915,Global Technology Consulting Company,2025-09-06 22:21,Delivery,Specialist,Walk-up,I need more room or cleanup help for project documents.,Storage,Quota Increase,Storage,Quota Increase,clean_label,Medium,Resolved,Urgent,25.6
ENT-002826,Global Technology Consulting Company,2025-02-25 11:40,Consulting,Specialist,Chat,"This is affecting my work for a client deliverable. I can use the system, but the physical setup is unreliable. pls advise",Hardware,Monitor,Hardware,Monitor,clean_label,Medium,Resolved,Neutral,34.1
ENT-021705,Global Technology Consulting Company,2025-03-28 16:47,HR,Consultant,Phone,I tried the usual steps but it still does not work. The backup or sync process is not completing.,Storage,Shared Drive Cleanup,Storage,Shared Drive Cleanup,clean_label,Critical,Open,Neutral,
ENT-007245,Global Technology Consulting Company,2025-06-16 23:14,Engineering,Team Lead,Phone,I am blocked right now and not sure what changed. The machine is very slow and makes it hard to complete normal tasks.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Medium,Waiting on Vendor,Neutral,
ENT-011070,Global Technology Consulting Company,2025-06-23 11:40,Engineering,Specialist,Email,My payroll or benefits information does not look right this cycle.,HR Support,Payroll,HR Support,Payroll,clean_label,High,Resolved,Frustrated,14.1
ENT-001989,Global Technology Consulting Company,2025-07-04 10:35,Legal,Senior Associate,Email,Not sure if this belongs to IT or another team. The machine is very slow and makes it hard to complete normal tasks.,Hardware,Keyboard/Mouse,Hardware,Keyboard/Mouse,clean_label,Low,Resolved,Urgent,108.5
ENT-013984,Global Technology Consulting Company,2025-08-12 23:32,Executive Office,Analyst,Email,This is affecting my work for a client deliverable. My payroll or benefits information does not look right this cycle.,HR Support,Onboarding,HR Support,Onboarding,clean_label,Medium,Closed,Frustrated,18.4
ENT-017664,Global Technology Consulting Company,2025-11-11 13:35,Delivery,Senior Associate,Chat,"I need permission for a client workspace before the deadline. Also, the shared location looks full or unavailable.",Access,Active Directory,Access,Active Directory,clean_label,Medium,Waiting on User,Neutral,
ENT-011720,Global Technology Consulting Company,2025-06-15 20:06,HR,Team Lead,Phone,"The time, leave, or policy information in the portal looks incorrect. Also, the shared location looks full or unavailable.",HR Support,Benefits,HR Support,Benefits,clean_label,Low,Resolved,Neutral,52.5
ENT-017592,Global Technology Consulting Company,2025-11-18 03:50,Legal,Senior Associate,Chat,The login works in one place but fails in another.,Access,MFA Enrollment,Access,MFA Enrollment,clean_label,High,Resolved,Urgent,20.8
ENT-026470,Global Technology Consulting Company,2025-04-09 08:20,Executive Office,Senior Associate,Portal,I am blocked right now and not sure what changed. The installer is blocked by policy even though it is work-related.,Administrative Rights,Developer Tool Permission,Administrative Rights,Developer Tool Permission,clean_label,High,Waiting on User,Urgent,
